algo	pivot	neighborhood	init	instance	size	final_cost	rpd	time_sec
II	first	exchange	random	N-t75k11xx_250	250	3975634	2.887625	5.08997
II	first	exchange	random	N-t75n11xx_150	150	1682018	3.503884	0.350767
II	first	exchange	random	N-t75n11xx_250	250	4394870	2.874556	5.05207
II	first	exchange	random	N-tiw56n54_150	150	815329	2.698984	0.3378
II	first	exchange	random	N-tiw56n54_250	250	2047572	2.437383	5.82583
II	first	exchange	random	N-tiw56n58_150	150	1107920	4.108735	0.270457
II	first	exchange	random	N-tiw56n58_250	250	2844339	2.143975	5.66071
II	first	exchange	random	N-tiw56n62_150	150	1582163	2.751086	0.385796
II	first	exchange	random	N-tiw56n62_250	250	4042712	2.414655	5.32639
II	first	exchange	random	N-tiw56n66_150	150	2029367	3.712815	0.378965
II	first	exchange	random	N-tiw56n66_250	250	5213404	2.923430	5.86144
II	first	exchange	random	N-tiw56n67_150	150	2311390	2.593254	0.31561
II	first	exchange	random	N-tiw56n67_250	250	6158030	2.637656	6.74091
II	first	exchange	random	N-tiw56n72_150	150	4016039	2.898228	0.384363
II	first	exchange	random	N-tiw56n72_250	250	10899326	2.245620	5.77737
II	first	exchange	random	N-tiw56r54_150	150	930682	2.871032	0.369143
II	first	exchange	random	N-tiw56r54_250	250	2327153	2.521458	5.37745
II	first	exchange	random	N-tiw56r58_150	150	1181271	3.118523	0.387914
II	first	exchange	random	N-tiw56r58_250	250	2973581	2.834407	4.97076
II	first	exchange	random	N-tiw56r66_150	150	1866879	3.806560	0.393842
II	first	exchange	random	N-tiw56r66_250	250	4802217	2.954421	6.09981
II	first	exchange	random	N-tiw56r67_150	150	1988965	3.276782	0.350834
II	first	exchange	random	N-tiw56r67_250	250	5163072	2.393085	6.15765
II	first	exchange	random	N-tiw56r72_150	150	2732312	3.238450	0.325909
II	first	exchange	random	N-tiw56r72_250	250	7249588	2.710714	5.74654
II	first	exchange	cw	N-be75eec_150	150	3396966	2.465295	0.338923
II	first	exchange	cw	N-be75eec_250	250	8656487	2.665375	5.18866
II	first	exchange	cw	N-be75np_150	150	6950529	3.119401	0.279378
II	first	exchange	cw	N-be75np_250	250	17410354	2.266287	5.05443
II	first	exchange	cw	N-be75oi_150	150	2206460	1.783815	0.289587
II	first	exchange	cw	N-be75oi_250	250	5760396	2.532954	4.81413
II	first	exchange	cw	N-be75tot_150	150	11855529	3.517157	0.268443
II	first	exchange	cw	N-be75tot_250	250	30044638	2.952235	4.74065
II	first	exchange	cw	N-stabu1_150	150	2791692	2.922386	0.32989
II	first	exchange	cw	N-stabu1_250	250	7610892	1.699102	5.43816
II	first	exchange	cw	N-stabu2_150	150	4197528	3.004249	0.323736
II	first	exchange	cw	N-stabu2_250	250	11207951	2.543353	4.61744
II	first	exchange	cw	N-stabu3_150	150	4379297	2.907651	0.295215
II	first	exchange	cw	N-stabu3_250	250	11532169	3.093582	4.55654
II	first	exchange	cw	N-t59b11xx_150	150	3132950	3.290580	0.201993
II	first	exchange	cw	N-t59b11xx_250	250	8186740	2.676800	3.58239
II	first	exchange	cw	N-t59d11xx_150	150	1414828	3.272653	0.253672
II	first	exchange	cw	N-t59d11xx_250	250	3741020	2.607202	3.30351
II	first	exchange	cw	N-t59f11xx_150	150	1500765	2.783383	0.202628
II	first	exchange	cw	N-t59f11xx_250	250	3877756	2.886297	3.39121
II	first	exchange	cw	N-t59n11xx_150	150	310390	2.686857	0.215394
II	first	exchange	cw	N-t59n11xx_250	250	798491	3.284489	3.65866
II	first	exchange	cw	N-t65b11xx_150	150	6209647	3.783626	0.318751
II	first	exchange	cw	N-t65b11xx_250	250	16784596	2.833160	5.19861
II	first	exchange	cw	N-t65d11xx_150	150	3448673	3.109391	0.286332
II	first	exchange	cw	N-t65d11xx_250	250	9040866	3.323782	4.03216
II	first	exchange	cw	N-t65f11xx_150	150	3053972	3.334699	0.278212
II	first	exchange	cw	N-t65f11xx_250	250	8149389	3.093833	4.2878
II	first	exchange	cw	N-t65l11xx_150	150	247323	2.396644	0.232118
II	first	exchange	cw	N-t65l11xx_250	250	646571	2.954279	2.81815
II	first	exchange	cw	N-t65n11xx_150	150	531447	3.501878	0.22493
II	first	exchange	cw	N-t65n11xx_250	250	1396236	2.317537	4.76982
II	first	exchange	cw	N-t69r11xx_150	150	11461909	3.323629	0.332726
II	first	exchange	cw	N-t69r11xx_250	250	30867930	2.979630	5.11346
II	first	exchange	cw	N-t70b11xx_150	150	9388651	2.680334	0.287694
II	first	exchange	cw	N-t70b11xx_250	250	24700764	2.764554	4.60826
II	first	exchange	cw	N-t70d11xn_150	150	5617018	3.572940	0.32832
II	first	exchange	cw	N-t70d11xn_250	250	14775815	2.835840	4.0526
II	first	exchange	cw	N-t70d11xx_150	150	5984951	3.064813	0.301628
II	first	exchange	cw	N-t70d11xx_250	250	15612502	2.668683	5.4217
II	first	exchange	cw	N-t70f11xx_150	150	4930616	4.261687	0.195838
II	first	exchange	cw	N-t70f11xx_250	250	13089573	3.654917	4.00947
II	first	exchange	cw	N-t70l11xx_150	150	419576	3.956856	0.262696
II	first	exchange	cw	N-t70l11xx_250	250	1086866	2.359297	4.02537
II	first	exchange	cw	N-t70n11xx_150	150	923110	2.719217	0.372334
II	first	exchange	cw	N-t70n11xx_250	250	2373780	2.888655	4.72717
II	first	exchange	cw	N-t74d11xx_150	150	9135770	2.770038	0.335051
II	first	exchange	cw	N-t74d11xx_250	250	23686685	3.043624	4.86075
II	first	exchange	cw	N-t75d11xx_150	150	9316603	3.376190	0.297748
II	first	exchange	cw	N-t75d11xx_250	250	24439236	2.309716	5.0976
II	first	exchange	cw	N-t75e11xx_150	150	40227410	3.230158	0.366676
II	first	exchange	cw	N-t75e11xx_250	250	104124726	2.572333	6.66105
II	first	exchange	cw	N-t75k11xx_150	150	1495097	3.016290	0.326606
II	first	exchange	cw	N-t75k11xx_250	250	3949293	3.531054	4.34353
II	first	exchange	cw	N-t75n11xx_150	150	1674839	3.915738	0.321715
II	first	exchange	cw	N-t75n11xx_250	250	4370250	3.418652	4.30943
II	first	exchange	cw	N-tiw56n54_150	150	812533	3.032657	0.232573
II	first	exchange	cw	N-tiw56n54_250	250	2040803	2.759912	4.57351
